127.0.0.1 - - [24/Mar/2017:21:00:32 -0300] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:26 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:26 -0300] "GET /PedidoVenda/javax.faces.resource/topo-logo-empresa.png.xhtml?ln=images HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:43 -0300] "GET /PedidoVenda/Login.xhtml HTTP/1.1" 200 3422
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:43 -0300] "GET /PedidoVenda/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:43 -0300] "GET /PedidoVenda/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:43 -0300] "GET /PedidoVenda/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:43 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:43 -0300] "GET /PedidoVenda/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:43 -0300] "GET /PedidoVenda/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:43 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:43 -0300] "GET /PedidoVenda/javax.faces.resource/topo-logo-empresa.png.xhtml?ln=images HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:44 -0300] "GET /PedidoVenda/Login.xhtml HTTP/1.1" 200 3422
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:44 -0300] "GET /PedidoVenda/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:44 -0300] "GET /PedidoVenda/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:44 -0300] "GET /PedidoVenda/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:44 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:44 -0300] "GET /PedidoVenda/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:44 -0300] "GET /PedidoVenda/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:44 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:44 -0300] "GET /PedidoVenda/javax.faces.resource/topo-logo-empresa.png.xhtml?ln=images HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:53 -0300] "GET /PedidoVenda/Login.xhtml HTTP/1.1" 200 3422
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:53 -0300] "GET /PedidoVenda/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:53 -0300] "GET /PedidoVenda/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:53 -0300] "GET /PedidoVenda/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:53 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:53 -0300] "GET /PedidoVenda/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:53 -0300] "GET /PedidoVenda/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:53 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:53 -0300] "GET /PedidoVenda/javax.faces.resource/topo-logo-empresa.png.xhtml?ln=images HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:06 -0300] "GET /PedidoVenda/Login.xhtml HTTP/1.1" 200 3423
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:06 -0300] "GET /PedidoVenda/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:06 -0300] "GET /PedidoVenda/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:06 -0300] "GET /PedidoVenda/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:06 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:06 -0300] "GET /PedidoVenda/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
